9;"EXTERN CHARGER";3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235;235;235;235;235;1;1;1;1
5;"Trojan 27TMX";3600;204;20;600;36000;130;43200;282;3600;14400;5;28;264;20;310;50400;90;214;211;210;208;205;1;1;0;0
6;"Discover EV12A-A";3600;204;20;600;50400;130;50400;288;3600;14400;10;15;273;15;330;50400;93;228;228;228;228;228;1;1;0;0
7;"Discover EV 506-";3600;204;20;600;50400;270;59900;288;3600;14400;10;15;273;15;336;50400;93;228;228;228;228;228;0;0;1;1
8;"Discover EVGT6A";3600;204;20;600;50400;270;59900;288;3600;14400;10;15;273;15;336;50400;93;228;228;228;228;228;0;0;1;1
6;"Trojan TE35";3600;204;24;600;32400;280;43200;282;3600;14400;10;60;264;45;360;50400;93;210;210;210;210;210;0;0;1;1
9;"Trojan T-105";3600;204;22;600;32400;260;43200;282;3600;14400;10;56;264;45;360;50400;93;210;210;210;210;210;0;0;1;1
5;"Trojan T145";3600;204;26;600;32400;300;43200;282;3600;14400;10;65;264;45;360;50400;93;210;210;210;210;210;0;0;1;1
0;"EXIDE GF12105V";3600;204;14;600;32400;180;43200;282;3600;14400;10;16;276;16;360;50400;93;232;218;199;196;193;0;0;1;1
1;"HOPPECKE TB115";3600;204;10;600;32400;130;50400;288;600;18000;5;16;270;16;360;50400;93;229;228;226;225;224;1;1;0;0
2;"EXIDE GF1270V";3600;204;8;600;32400;120;43200;282;3600;14400;10;11;276;11;360;50400;93;234;211;196;194;192;1;1;0;0
3;"HOPPECKE TB80";3600;204;8;600;32400;120;50400;288;600;18000;5;13;270;13;360;50400;93;229;226;225;224;223;1;1;0;0
4;"EXIDE FF12080WET";3600;228;15;1800;25200;110;36000;288;3600;14400;6;40;268;40;360;50400;90;229;228;226;225;224;1;1;0;0
0;"EXIDE GF12105V";3600;204;14;600;36000;130;48000;282;3600;14400;10;16;276;16;360;50400;93;236;227;201;199;197;1;1;0;0
1;"HOPPECKE 6TB170";3600;204;17;600;32400;270;50400;288;600;18000;5;23;270;27;360;50400;93;230;228;227;226;225;0;0;1;1
2;"EXIDE GF06180V";3600;204;23;600;32400;270;43200;282;3600;14400;10;23;276;23;360;50400;93;235;231;223;208;199;0;0;1;1
3;"EXIDE GF06240V";3600;204;48;600;32400;350;43200;282;3600;14400;10;31;276;31;360;50400;93;236;233;229;223;213;0;0;1;1
4;"EXIDE FT06180WET";3600;204;36;600;25200;280;36000;288;3600;14400;6;90;268;90;360;50400;90;232;221;211;198;196;0;0;1;1

